r,c,diag1,diag2
1,4,SAM,MAS
1,28,MAS,SAM
1,32,SAM,SAM
1,38,MAS,SAM
1,40,SAM,MAS
1,46,MAS,MAS
1,50,SAM,MAS
1,56,SAM,MAS
1,59,MAS,SAM
1,61,SAM,MAS
1,66,MAS,SAM
1,67,SAM,MAS
1,72,SAM,SAM
1,74,SAM,SAM
1,75,SAM,SAM
1,76,SAM,SAM
1,77,SAM,SAM
1,79,SAM,SAM
1,88,MAS,SAM
1,92,SAM,SAM
1,97,MAS,MAS
1,99,MAS,MAS
1,109,SAM,SAM
1,111,SAM,SAM
1,116,MAS,SAM
1,118,SAM,MAS
1,122,SAM,SAM
1,124,SAM,SAM
1,127,SAM,MAS
1,133,SAM,SAM
1,134,MAS,MAS
2,20,SAM,SAM
2,26,SAM,SAM
2,38,SAM,SAM
2,48,MAS,SAM
2,50,SAM,MAS
2,54,MAS,SAM
2,61,SAM,MAS
2,86,SAM,SAM
2,88,SAM,SAM
2,113,SAM,SAM
2,129,MAS,MAS
2,130,SAM,MAS
2,138,SAM,MAS
3,32,MAS,MAS
3,38,MAS,SAM
3,40,SAM,MAS
3,46,SAM,SAM
3,48,SAM,SAM
3,68,SAM,SAM
3,82,SAM,SAM
3,99,SAM,SAM
3,104,MAS,MAS
3,106,MAS,MAS
4,6,SAM,SAM
4,7,MAS,MAS
4,10,SAM,MAS
4,11,SAM,SAM
4,12,MAS,SAM
4,13,SAM,SAM
4,14,SAM,MAS
4,15,SAM,SAM
4,36,MAS,MAS
4,38,MAS,MAS
4,54,MAS,SAM
4,56,SAM,MAS
4,59,SAM,SAM
4,85,MAS,MAS
4,127,SAM,SAM
4,129,SAM,SAM
4,138,SAM,MAS
5,30,MAS,SAM
5,63,MAS,MAS
5,65,MAS,MAS
5,69,SAM,SAM
5,71,SAM,SAM
5,76,MAS,SAM
5,91,SAM,MAS
5,106,SAM,SAM
6,12,MAS,SAM
6,16,MAS,SAM
6,19,MAS,SAM
6,23,MAS,SAM
6,35,MAS,MAS
6,36,SAM,SAM
6,50,MAS,MAS
6,58,MAS,MAS
6,61,MAS,SAM
6,80,SAM,MAS
6,83,SAM,SAM
6,97,MAS,MAS
6,120,MAS,SAM
6,122,SAM,MAS
6,132,MAS,SAM
6,134,SAM,MAS
6,136,MAS,SAM
6,137,SAM,SAM
7,2,SAM,SAM
7,25,MAS,MAS
7,28,SAM,MAS
7,41,MAS,MAS
7,71,MAS,MAS
7,73,MAS,MAS
7,89,MAS,SAM
7,104,MAS,MAS
7,106,MAS,MAS
7,110,MAS,SAM
8,12,MAS,SAM
8,16,MAS,SAM
8,18,SAM,MAS
8,19,MAS,SAM
8,20,MAS,SAM
8,22,SAM,MAS
8,23,MAS,SAM
8,53,MAS,MAS
8,58,SAM,SAM
8,67,MAS,MAS
8,69,MAS,MAS
8,71,MAS,MAS
8,78,SAM,SAM
8,81,MAS,MAS
8,94,SAM,SAM
8,96,SAM,SAM
8,116,SAM,SAM
8,120,MAS,SAM
8,122,SAM,MAS
8,130,MAS,MAS
8,135,MAS,MAS
8,137,MAS,MAS
9,25,SAM,SAM
9,28,SAM,MAS
9,29,MAS,SAM
9,31,SAM,MAS
9,58,SAM,MAS
9,63,SAM,MAS
9,65,MAS,SAM
9,67,SAM,MAS
9,71,SAM,SAM
9,83,SAM,SAM
9,85,SAM,SAM
9,106,SAM,SAM
9,124,MAS,MAS
10,12,MAS,SAM
10,19,MAS,SAM
10,37,MAS,SAM
10,46,SAM,MAS
10,48,MAS,SAM
10,51,SAM,SAM
10,55,SAM,MAS
10,67,SAM,SAM
10,69,SAM,SAM
10,77,MAS,SAM
10,90,MAS,MAS
10,98,MAS,SAM
10,122,SAM,MAS
10,124,MAS,SAM
10,128,MAS,SAM
11,9,SAM,SAM
11,25,MAS,MAS
11,28,SAM,MAS
11,65,MAS,SAM
11,69,MAS,MAS
11,73,MAS,SAM
11,77,SAM,MAS
11,86,MAS,MAS
11,94,SAM,MAS
11,104,SAM,MAS
11,126,SAM,SAM
12,11,MAS,MAS
12,14,SAM,SAM
12,17,MAS,MAS
12,20,MAS,SAM
12,21,SAM,SAM
12,23,SAM,SAM
12,38,SAM,SAM
12,40,SAM,SAM
12,48,MAS,SAM
12,50,SAM,MAS
12,55,SAM,MAS
12,57,MAS,SAM
12,60,MAS,MAS
12,61,MAS,MAS
12,65,SAM,MAS
12,88,MAS,SAM
12,107,SAM,MAS
12,111,MAS,SAM
12,119,SAM,SAM
12,135,MAS,SAM
13,26,MAS,SAM
13,28,SAM,MAS
13,31,MAS,SAM
13,32,MAS,SAM
13,67,SAM,SAM
13,69,SAM,SAM
13,72,MAS,SAM
13,96,MAS,SAM
13,102,MAS,SAM
13,104,SAM,MAS
13,124,MAS,MAS
13,126,MAS,MAS
14,2,SAM,MAS
14,10,MAS,SAM
14,11,SAM,SAM
14,43,SAM,MAS
14,59,SAM,SAM
14,61,SAM,SAM
14,63,SAM,SAM
14,78,MAS,MAS
14,82,SAM,MAS
14,89,MAS,MAS
14,110,SAM,SAM
14,113,SAM,SAM
14,117,MAS,MAS
14,124,SAM,MAS
14,134,SAM,MAS
14,137,SAM,SAM
14,138,SAM,SAM
15,21,SAM,MAS
15,23,MAS,SAM
15,25,SAM,MAS
15,27,MAS,SAM
15,29,SAM,MAS
15,37,SAM,MAS
15,38,MAS,MAS
15,51,MAS,MAS
15,71,MAS,SAM
15,100,SAM,MAS
15,102,MAS,SAM
15,104,SAM,MAS
15,132,SAM,SAM
16,51,SAM,SAM
16,62,SAM,SAM
16,76,MAS,SAM
16,77,MAS,SAM
16,79,SAM,MAS
16,80,SAM,SAM
16,92,MAS,SAM
16,107,SAM,SAM
16,110,MAS,MAS
16,115,MAS,SAM
16,116,SAM,MAS
16,118,MAS,SAM
16,120,SAM,MAS
16,136,MAS,MAS
16,138,MAS,MAS
17,26,SAM,SAM
17,33,MAS,SAM
17,36,SAM,SAM
17,38,SAM,SAM
17,47,SAM,SAM
17,66,SAM,SAM
17,68,SAM,SAM
17,71,MAS,SAM
17,87,SAM,SAM
17,96,SAM,MAS
17,98,MAS,SAM
17,103,SAM,SAM
17,105,SAM,SAM
17,124,SAM,SAM
18,7,SAM,SAM
18,9,SAM,SAM
18,13,SAM,MAS
18,14,MAS,MAS
18,16,MAS,MAS
18,33,SAM,MAS
18,58,SAM,SAM
18,71,MAS,SAM
18,73,SAM,MAS
18,81,MAS,MAS
18,91,MAS,SAM
18,93,SAM,MAS
18,129,SAM,MAS
18,136,SAM,SAM
18,138,SAM,SAM
19,1,MAS,SAM
19,7,SAM,MAS
19,21,MAS,MAS
19,23,MAS,MAS
19,26,MAS,MAS
19,28,MAS,MAS
19,29,SAM,SAM
19,39,SAM,MAS
19,43,MAS,MAS
19,44,SAM,MAS
19,48,SAM,SAM
19,51,SAM,SAM
19,58,SAM,SAM
19,71,MAS,SAM
19,73,SAM,MAS
19,83,SAM,SAM
19,87,MAS,MAS
19,124,MAS,MAS
20,14,SAM,SAM
20,21,SAM,SAM
20,61,MAS,SAM
20,62,MAS,MAS
20,64,MAS,MAS
20,68,SAM,MAS
20,71,MAS,SAM
20,73,SAM,MAS
20,76,SAM,SAM
20,106,MAS,SAM
20,110,SAM,MAS
20,126,MAS,MAS
20,137,SAM,SAM
21,3,SAM,SAM
21,4,MAS,MAS
21,7,SAM,MAS
21,9,MAS,SAM
21,10,MAS,MAS
21,28,SAM,SAM
21,35,MAS,SAM
21,51,MAS,MAS
21,89,SAM,SAM
21,98,MAS,MAS
21,104,MAS,SAM
21,119,SAM,SAM
21,121,SAM,SAM
21,122,MAS,SAM
22,41,MAS,MAS
22,47,MAS,MAS
22,48,SAM,SAM
22,61,MAS,SAM
22,63,SAM,MAS
22,68,SAM,MAS
22,106,MAS,SAM
22,126,SAM,SAM
22,128,SAM,SAM
22,132,SAM,MAS
23,6,SAM,MAS
23,7,SAM,MAS
23,10,SAM,SAM
23,15,MAS,MAS
23,16,SAM,SAM
23,18,SAM,SAM
23,20,SAM,SAM
23,26,SAM,MAS
23,30,MAS,SAM
23,41,SAM,MAS
23,54,MAS,MAS
23,59,MAS,MAS
23,66,MAS,SAM
23,75,MAS,SAM
23,78,MAS,SAM
23,83,MAS,MAS
23,106,SAM,MAS
23,115,MAS,SAM
23,117,SAM,MAS
23,126,SAM,MAS
24,28,MAS,SAM
24,49,SAM,MAS
24,54,MAS,SAM
24,68,SAM,MAS
24,70,MAS,SAM
24,96,SAM,MAS
24,104,SAM,MAS
