"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"07:31:39.9538179","AlteryxGui.exe","19688","CreateFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"07:31:39.9538460","AlteryxGui.exe","19688","QueryNetworkOpenInformationFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS","CreationTime: 2024-12-06 19:02:45, LastAccessTime: 2024-12-11 06:53:41, LastWriteTime: 2024-12-06 19:05:27, ChangeTime: 2024-12-06 19:05:27, AllocationSize: 8192, EndOfFile: 8192, FileAttributes: D"
"07:31:39.9538603","AlteryxGui.exe","19688","CloseFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS",""
"07:31:39.9539353","AlteryxGui.exe","19688","CreateFile","C:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"07:31:39.9539973","AlteryxGui.exe","19688","QueryNameInformationFile","C:\","SUCCESS","Name: \"
"07:31:39.9540238","AlteryxGui.exe","19688","QueryAttributeInformationVolume","C:\","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c02e00, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"07:31:39.9540499","AlteryxGui.exe","19688","CloseFile","C:\","SUCCESS",""
"07:31:40.4809896","AlteryxGui.exe","19688","CreateFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"07:31:40.4810321","AlteryxGui.exe","19688","QueryNetworkOpenInformationFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS","CreationTime: 2024-12-06 19:02:45, LastAccessTime: 2024-12-11 06:53:41, LastWriteTime: 2024-12-06 19:05:27, ChangeTime: 2024-12-06 19:05:27, AllocationSize: 8192, EndOfFile: 8192, FileAttributes: D"
"07:31:40.4810573","AlteryxGui.exe","19688","CloseFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS",""
"07:31:40.4811627","AlteryxGui.exe","19688","CreateFile","C:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"07:31:40.4812361","AlteryxGui.exe","19688","QueryNameInformationFile","C:\","SUCCESS","Name: \"
"07:31:40.4812866","AlteryxGui.exe","19688","QueryAttributeInformationVolume","C:\","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c02e00, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"07:31:40.4813114","AlteryxGui.exe","19688","CloseFile","C:\","SUCCESS",""
"07:31:40.9473614","AlteryxGui.exe","19688","CreateFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"07:31:40.9473897","AlteryxGui.exe","19688","QueryNetworkOpenInformationFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS","CreationTime: 2024-12-06 19:02:45, LastAccessTime: 2024-12-11 06:53:41, LastWriteTime: 2024-12-06 19:05:27, ChangeTime: 2024-12-06 19:05:27, AllocationSize: 8192, EndOfFile: 8192, FileAttributes: D"
"07:31:40.9474045","AlteryxGui.exe","19688","CloseFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS",""
"07:31:40.9474671","AlteryxGui.exe","19688","CreateFile","C:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"07:31:40.9474927","AlteryxGui.exe","19688","QueryNameInformationFile","C:\","SUCCESS","Name: \"
"07:31:40.9475086","AlteryxGui.exe","19688","QueryAttributeInformationVolume","C:\","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c02e00, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"07:31:40.9475218","AlteryxGui.exe","19688","CloseFile","C:\","SUCCESS",""
"07:31:41.1986876","AlteryxGui.exe","19688","Thread Create","","SUCCESS","Thread ID: 7456"
"07:31:41.1990576","AlteryxGui.exe","19688","Thread Exit","","SUCCESS","Thread ID: 11156, User Time: 0.0000000, Kernel Time: 0.0000000"
"07:31:41.1991213","AlteryxGui.exe","19688","Thread Create","","SUCCESS","Thread ID: 21748"
"07:31:41.1992230","AlteryxGui.exe","19688","Thread Create","","SUCCESS","Thread ID: 8204"
"07:31:41.1992657","AlteryxGui.exe","19688","Thread Exit","","SUCCESS","Thread ID: 3136, User Time: 0.0000000, Kernel Time: 0.0000000"
"07:31:41.1995267","AlteryxGui.exe","19688","Thread Create","","SUCCESS","Thread ID: 23052"
"07:31:41.1996999","AlteryxGui.exe","19688","Thread Create","","SUCCESS","Thread ID: 7444"
"07:31:41.1997622","AlteryxGui.exe","19688","Thread Create","","SUCCESS","Thread ID: 5288"
"07:31:41.1998066","AlteryxGui.exe","19688","Thread Create","","SUCCESS","Thread ID: 19788"
"07:31:41.2000142","AlteryxGui.exe","19688","Thread Exit","","SUCCESS","Thread ID: 9056, User Time: 0.0000000, Kernel Time: 0.0000000"
"07:31:41.2005117","AlteryxGui.exe","19688","Thread Exit","","SUCCESS","Thread ID: 11648, User Time: 0.0156250, Kernel Time: 0.0000000"
"07:31:41.2007813","AlteryxGui.exe","19688","Thread Exit","","SUCCESS","Thread ID: 16980, User Time: 0.0000000, Kernel Time: 0.0156250"
"07:31:41.2009493","AlteryxGui.exe","19688","Thread Exit","","SUCCESS","Thread ID: 22656, User Time: 0.0000000, Kernel Time: 0.0000000"
"07:31:41.4706635","AlteryxGui.exe","19688","CreateFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"07:31:41.4707027","AlteryxGui.exe","19688","QueryNetworkOpenInformationFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS","CreationTime: 2024-12-06 19:02:45, LastAccessTime: 2024-12-11 06:53:41, LastWriteTime: 2024-12-06 19:05:27, ChangeTime: 2024-12-06 19:05:27, AllocationSize: 8192, EndOfFile: 8192, FileAttributes: D"
"07:31:41.4707232","AlteryxGui.exe","19688","CloseFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS",""
"07:31:41.4708291","AlteryxGui.exe","19688","CreateFile","C:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"07:31:41.4708840","AlteryxGui.exe","19688","QueryNameInformationFile","C:\","SUCCESS","Name: \"
"07:31:41.4709181","AlteryxGui.exe","19688","QueryAttributeInformationVolume","C:\","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c02e00, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"07:31:41.4709665","AlteryxGui.exe","19688","CloseFile","C:\","SUCCESS",""
"07:31:41.9459625","AlteryxGui.exe","19688","CreateFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"07:31:41.9459870","AlteryxGui.exe","19688","QueryNetworkOpenInformationFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS","CreationTime: 2024-12-06 19:02:45, LastAccessTime: 2024-12-11 06:53:41, LastWriteTime: 2024-12-06 19:05:27, ChangeTime: 2024-12-06 19:05:27, AllocationSize: 8192, EndOfFile: 8192, FileAttributes: D"
"07:31:41.9459994","AlteryxGui.exe","19688","CloseFile","C:\Program Files\Alteryx\bin\RuntimeData\Macros","SUCCESS",""
"07:31:41.9460463","AlteryxGui.exe","19688","CreateFile","C:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"07:31:41.9460797","AlteryxGui.exe","19688","QueryNameInformationFile","C:\","SUCCESS","Name: \"
