('hwm', 'jms', 11):('ttr', 'vgr', 17):10
('hwm', 'jms', 11):('rgt', 'vgr', 17):10
('hwm', 'jms', 11):('fbv', 'vgr', 17):10
('hwm', 'jms', 11):('nqr', 'rgt', 18):10
('hwm', 'jms', 11):('fbv', 'nqr', 18):10
('hwm', 'jms', 11):('jgc', 'z15', 18):7
('hwm', 'jms', 11):('nqr', 'ttr', 18):10
('hwm', 'jms', 11):('jgc', 'sck', 19):9
('hwm', 'jms', 11):('hmb', 'ttr', 19):10
('hwm', 'jms', 11):('rgt', 'vcs', 19):9
('hwm', 'jms', 11):('fbv', 'hmb', 19):10
('hwm', 'jms', 11):('ttr', 'vcs', 19):9
('hwm', 'jms', 11):('nfj', 'sck', 19):9
('hwm', 'jms', 11):('fbv', 'vcs', 19):9
('hwm', 'jms', 11):('hmb', 'rgt', 19):10
('hwm', 'jms', 11):('ttr', 'z09', 20):9
('hwm', 'jms', 11):('sck', 'tqq', 20):10
('hwm', 'jms', 11):('fbv', 'z09', 20):9
('hwm', 'jms', 11):('fbv', 'tdc', 20):9
('hwm', 'jms', 11):('hmb', 'jgc', 20):10
('hwm', 'jms', 11):('nfj', 'z15', 20):9
('hwm', 'jms', 11):('rgt', 'z15', 20):9
('hwm', 'jms', 11):('drk', 'vcs', 20):10
('hwm', 'jms', 11):('hmb', 'nfj', 20):10
('hwm', 'jms', 11):('jgc', 'nqr', 20):10
('hwm', 'jms', 11):('jgc', 'z09', 20):9
('hwm', 'jms', 11):('tdc', 'ttr', 20):9
('hwm', 'jms', 11):('jfp', 'nfj', 20):10
('hwm', 'jms', 11):('grd', 'rgt', 20):9
('hwm', 'jms', 11):('ttr', 'z15', 20):9
('hwm', 'jms', 11):('gvw', 'qjb', 20):9
('hwm', 'jms', 11):('fbv', 'grd', 20):9
('hwm', 'jms', 11):('nfj', 'vgr', 20):10
('hwm', 'jms', 11):('rgt', 'tdc', 20):9
('hwm', 'jms', 11):('nfj', 'nqr', 20):10
('hwm', 'jms', 11):('jfp', 'jgc', 20):10
('hwm', 'jms', 11):('fbv', 'z15', 20):9
('hwm', 'jms', 11):('rgt', 'z09', 20):9
('hwm', 'jms', 11):('grd', 'ttr', 20):9
('hwm', 'jms', 11):('jgc', 'vgr', 20):10
('hwm', 'jms', 11):('nfj', 'z09', 20):9
('hwm', 'jms', 11):('tqq', 'z15', 21):10
('hwm', 'jms', 11):('rgt', 'tpv', 21):10
('hwm', 'jms', 11):('nfj', 'tpv', 21):10
('hwm', 'jms', 11):('nfj', 'pnd', 21):10
('hwm', 'jms', 11):('tqq', 'z16', 21):10
('hwm', 'jms', 11):('drk', 'z15', 21):10
('hwm', 'jms', 11):('jgc', 'rvc', 21):10
('hwm', 'jms', 11):('jgc', 'z06', 21):10
('hwm', 'jms', 11):('pnd', 'rgt', 21):10
('hwm', 'jms', 11):('ttr', 'z10', 21):10
('hwm', 'jms', 11):('fhh', 'nfj', 21):10
('hwm', 'jms', 11):('jgc', 'z12', 21):10
('hwm', 'jms', 11):('nfj', 'z03', 21):10
('hwm', 'jms', 11):('rgt', 'z03', 21):10
('hwm', 'jms', 11):('drk', 'grd', 21):10
('hwm', 'jms', 11):('jdr', 'jgc', 21):10
('hwm', 'jms', 11):('tqq', 'z09', 21):10
('hwm', 'jms', 11):('fbv', 'z10', 21):10
('hwm', 'jms', 11):('ftc', 'nfj', 21):10
('hwm', 'jms', 11):('ftc', 'ttr', 21):10
('hwm', 'jms', 11):('qsg', 'rgt', 21):10
('hwm', 'jms', 11):('fhh', 'rgt', 21):10
('hwm', 'jms', 11):('rgt', 'rvc', 21):10
('hwm', 'jms', 11):('jdr', 'nfj', 21):10
('hwm', 'jms', 11):('fbv', 'jdr', 21):10
('hwm', 'jms', 11):('nfj', 'rvc', 21):10
('hwm', 'jms', 11):('nfj', 'qsg', 21):10
('hwm', 'jms', 11):('nfj', 'z06', 21):10
('hwm', 'jms', 11):('rgt', 'z06', 21):10
('hwm', 'jms', 11):('jgc', 'z10', 21):10
('hwm', 'jms', 11):('fbv', 'pnd', 21):10
('hwm', 'jms', 11):('jgc', 'z14', 21):10
('hwm', 'jms', 11):('jdr', 'ttr', 21):10
('hwm', 'jms', 11):('ttr', 'z06', 21):10
('hwm', 'jms', 11):('ftc', 'jgc', 21):10
('hwm', 'jms', 11):('nfj', 'z12', 21):10
('hwm', 'jms', 11):('rgt', 'z12', 21):10
('hwm', 'jms', 11):('fbv', 'ftc', 21):10
('hwm', 'jms', 11):('fbv', 'qsg', 21):10
('hwm', 'jms', 11):('ttr', 'z12', 21):10
('hwm', 'jms', 11):('ttr', 'z03', 21):10
('hwm', 'jms', 11):('fbv', 'z06', 21):10
('hwm', 'jms', 11):('pnd', 'ttr', 21):10
('hwm', 'jms', 11):('jdr', 'rgt', 21):10
('hwm', 'jms', 11):('fbv', 'z03', 21):10
('hwm', 'jms', 11):('jgc', 'pnd', 21):10
('hwm', 'jms', 11):('fbv', 'z12', 21):10
('hwm', 'jms', 11):('nfj', 'smr', 21):10
('hwm', 'jms', 11):('rgt', 'smr', 21):10
('hwm', 'jms', 11):('rgt', 'z14', 21):10
('hwm', 'jms', 11):('qsg', 'ttr', 21):10
('hwm', 'jms', 11):('nfj', 'z14', 21):10
('hwm', 'jms', 11):('ftc', 'rgt', 21):10
('hwm', 'jms', 11):('drk', 'tdc', 21):10
('hwm', 'jms', 11):('rgt', 'z10', 21):10
('hwm', 'jms', 11):('pkj', 'tqq', 21):10
('hwm', 'jms', 11):('jgc', 'qsg', 21):10
('hwm', 'jms', 11):('drk', 'z09', 21):10
('hwm', 'jms', 11):('rvc', 'ttr', 21):10
('hwm', 'jms', 11):('nfj', 'z10', 21):10
('hwm', 'jms', 11):('nfj', 'rsq', 21):10
('hwm', 'jms', 11):('fbv', 'rvc', 21):10
('hwm', 'jms', 11):('ttr', 'z14', 21):10
('hwm', 'jms', 11):('rgt', 'rsq', 21):10
('hwm', 'jms', 11):('jgc', 'z03', 21):10
('hwm', 'jms', 11):('fbv', 'z14', 21):10
('dvs', 'jms', 11):('ttr', 'vgr', 17):10
('dvs', 'jms', 11):('rgt', 'vgr', 17):10
('dvs', 'jms', 11):('fbv', 'vgr', 17):10
('dvs', 'jms', 11):('nqr', 'rgt', 18):10
('dvs', 'jms', 11):('fbv', 'nqr', 18):10
('dvs', 'jms', 11):('jgc', 'z15', 18):7
('dvs', 'jms', 11):('nqr', 'ttr', 18):10
('dvs', 'jms', 11):('jgc', 'sck', 19):9
('dvs', 'jms', 11):('hmb', 'ttr', 19):10
('dvs', 'jms', 11):('rgt', 'vcs', 19):9
('dvs', 'jms', 11):('fbv', 'hmb', 19):10
('dvs', 'jms', 11):('ttr', 'vcs', 19):9
('dvs', 'jms', 11):('nfj', 'sck', 19):9
('dvs', 'jms', 11):('fbv', 'vcs', 19):9
('dvs', 'jms', 11):('hmb', 'rgt', 19):10
('dvs', 'jms', 11):('ttr', 'z09', 20):9
('dvs', 'jms', 11):('sck', 'tqq', 20):10
('dvs', 'jms', 11):('fbv', 'z09', 20):9
('dvs', 'jms', 11):('fbv', 'tdc', 20):9
('dvs', 'jms', 11):('hmb', 'jgc', 20):10
('dvs', 'jms', 11):('nfj', 'z15', 20):9
('dvs', 'jms', 11):('rgt', 'z15', 20):9
('dvs', 'jms', 11):('drk', 'vcs', 20):10
('dvs', 'jms', 11):('hmb', 'nfj', 20):10
('dvs', 'jms', 11):('jgc', 'nqr', 20):10
('dvs', 'jms', 11):('jgc', 'z09', 20):9
('dvs', 'jms', 11):('tdc', 'ttr', 20):9
('dvs', 'jms', 11):('jfp', 'nfj', 20):10
('dvs', 'jms', 11):('grd', 'rgt', 20):9
('dvs', 'jms', 11):('ttr', 'z15', 20):9
('dvs', 'jms', 11):('gvw', 'qjb', 20):9
('dvs', 'jms', 11):('fbv', 'grd', 20):9
('dvs', 'jms', 11):('nfj', 'vgr', 20):10
('dvs', 'jms', 11):('rgt', 'tdc', 20):9
('dvs', 'jms', 11):('nfj', 'nqr', 20):10
('dvs', 'jms', 11):('jfp', 'jgc', 20):10
('dvs', 'jms', 11):('fbv', 'z15', 20):9
('dvs', 'jms', 11):('rgt', 'z09', 20):9
('dvs', 'jms', 11):('grd', 'ttr', 20):9
('dvs', 'jms', 11):('jgc', 'vgr', 20):10
('dvs', 'jms', 11):('nfj', 'z09', 20):9
('dvs', 'jms', 11):('tqq', 'z15', 21):10
('dvs', 'jms', 11):('rgt', 'tpv', 21):10
('dvs', 'jms', 11):('nfj', 'tpv', 21):10
('dvs', 'jms', 11):('nfj', 'pnd', 21):10
('dvs', 'jms', 11):('tqq', 'z16', 21):10
('dvs', 'jms', 11):('drk', 'z15', 21):10
('dvs', 'jms', 11):('jgc', 'rvc', 21):10
('dvs', 'jms', 11):('jgc', 'z06', 21):10
('dvs', 'jms', 11):('pnd', 'rgt', 21):10
('dvs', 'jms', 11):('ttr', 'z10', 21):10
('dvs', 'jms', 11):('fhh', 'nfj', 21):10
('dvs', 'jms', 11):('jgc', 'z12', 21):10
('dvs', 'jms', 11):('nfj', 'z03', 21):10
('dvs', 'jms', 11):('rgt', 'z03', 21):10
('dvs', 'jms', 11):('drk', 'grd', 21):10
('dvs', 'jms', 11):('jdr', 'jgc', 21):10
('dvs', 'jms', 11):('tqq', 'z09', 21):10
('dvs', 'jms', 11):('fbv', 'z10', 21):10
('dvs', 'jms', 11):('ftc', 'nfj', 21):10
('dvs', 'jms', 11):('ftc', 'ttr', 21):10
('dvs', 'jms', 11):('qsg', 'rgt', 21):10
('dvs', 'jms', 11):('fhh', 'rgt', 21):10
('dvs', 'jms', 11):('rgt', 'rvc', 21):10
('dvs', 'jms', 11):('jdr', 'nfj', 21):10
